Reaction	EC-Number	Object ID
2-phosphoglycolate[periplasm] + H2O[periplasm]  ->  glycolate[periplasm] + phosphate[periplasm]	EC-3.1.3.18	GPH-RXN
an N-terminal-L-methionyl-L-seryl-[protein] + H2O  ->  an N-terminal L-seryl-[protein] + L-methionine	EC-3.4.11.18	RXN-17876
(S)-2-aminobutanoate + 2-oxoglutarate  <-->  L-glutamate + 2-oxobutanoate	EC-2.6.1	RXN-20408
N-(4-aminobenzoyl)-L-glutamate + H2O  ->  4-aminobenzoate + L-glutamate	EC-3.5.1	RXN0-5040
(+)-afzelechin + NADP+ + H2O  <-  (2R,3S,4S)-leucopelargonidin + NADPH + H+	EC-1.17.1.3	RXN-1481
isodeoxycholate + NAD+  <-->  3-dehydrodeoxycholate + NADH + H+	EC-1.1.1.391	RXN-17397
monodehydroascorbate reductase (NADPH)	EC-1.6.5	RXN-3522
(9Z,12Z,15Z)-hexadeca-9,12,15-trienoyl-CoA + 3 malonyl-CoA + 3 H+  ->  5-pentadecatrienyl resorcinol + 4 CO2 + 4 coenzyme A	EC-2.3.1	RXN-9618
8'-apo-beta-carotenal + dioxygen  ->  all-trans-retinal + (2E,4E,6E)-2,6-dimethylocta-2,4,6-trienedial	EC-1.13.11.75	RXN-11783
<i>all-trans</i>-10'-apo-&beta;-carotenal dioxygenase	EC-1.13.11.71	RXN-14334
UDP-alpha-D-glucose + 2,3-bis-O-sesterterpanyl-sn-glycero-1-phospho-1'-myo-inositol  ->  2,3-bis-O-sesterterpanyl-sn-glycero-1-phospho-1'-(2'-O-alpha-D-glucosyl)-myo-inositol + UDP + H+	EC-2.4.1	RXN-23129
Und-PP-[beta-D-GlcNAc-(1->4)]-MurNAc-L-Ala-gamma-D-iGln-(6-N-beta-D-Asp)-L-Lys-D-Ala-D-Ala + ammonium + ATP  ->  Und-PP-[beta-D-GlcNAc-(1->4)]-MurNAc-L-Ala-gamma-D-iGln-(6-N-beta-D-Asn)-L-Lys-D-Ala-D-Ala + AMP + diphosphate + H+	EC-6.3.1	RXN-11338
cytidine 5'-{[hydroxy(2-hydroxypropyl)phosphonoyl]phosphate} + H2O  ->  (S)-2-hydroxypropylphosphonate + CMP + H+	EC-3.6.1	RXN-19877
an alpha-L-fucoside + H2O  ->  an alcohol + L-fucopyranose	EC-3.2.1.51	ALPHA-L-FUCOSIDASE-RXN
beta-L-fucose 1-phosphate + GTP + H+  ->  GDP-beta-L-fucose + diphosphate	EC-2.7.7.30	2.7.7.30-RXN
S-adenosyl-L-methionine + a [glycerolipid]-vaccenate  ->  a [glycerolipid]-(E)-11-methyl-12-octadec-12-enoate + S-adenosyl-L-homocysteine + H+	EC-2.1.1	RXN-16880
beta-nicotinate D-ribonucleotide + 5-methylbenzimidazole  ->  5-methylbenzimidazole ribotide phosphate + nicotinate + H+	EC-2.4.2.21	RXN-19306
N-(beta-D-glucosyl)-(indol-3-yl)acetyl-L-glutamate + H2O  ->  N-beta-D-glucosyl-(indol-3-yl)acetate + L-glutamate	EC-3.5.1	RXN-9078
(S)-ureidoglycolate + 2 H+ + H2O  ->  2 ammonium + CO2 + glyoxylate	EC-3.5.1.116	UREIDOGLYCOLATE-HYDROLASE-RXN
2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate  ->  3-amino-4-hydroxybenzoate + phosphate + H+ + 2 H2O	EC-4.1.99.20	RXN-13866
matairesinol 4'-methyltransferase	EC-2.1.1	RXN-16364
PLP-D-cycloserine aldimine + H+  <-->  PLP-D-cycloserine ketimine		RXN-22545
(2E,6E)-farnesyl diphosphate  ->  (+)-delta-amorphene + diphosphate	EC-4.2.3	RXN-8594
3-methoxy 4-hydroxyphenylpyruvate reductase		RXN-10872
a phosphatidate + ATP  <-->  a 1,2-diacyl-sn-glycerol 3-diphosphate + ADP	EC-2.7.4	RXN-13336
n alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-beta-D-Man-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol  ->  Salmonella enterica serotype O:18 O antigen + n-1 di-trans,octa-cis-undecaprenyl diphosphate + n-1 H+	EC-2.4.99	RXN-22053
S-adenosyl-L-methionine + precorrin-4  ->  precorrin-5 + S-adenosyl-L-homocysteine + H+	EC-2.1.1.133	2.1.1.133-RXN
dCTP + 2 H2O  ->  dUMP + ammonium + diphosphate	EC-3.5.4.30	3.5.4.30-RXN
(2E,6E)-farnesyl diphosphate  ->  (Z) gamma-bisabolene + diphosphate	EC-4.2.3.40	RXN-10005
oleuropein + H2O  ->  oleuropein aglycone + D-glucopyranose	EC-3.2.1.206	RXN-18857
S-adenosyl-L-methionine + dopamine  ->  S-adenosyl-L-homocysteine + 3-methoxytyramine + H+	EC-2.1.1.6	RXN6666-7
furan-2,5-dicarbaldehyde + H2O  ->  5-(dihydroxymethyl)furan-2-carbaldehyde		RXN-15852
propanoyl-CoA + L-carnitine  ->  O-propanoyl-L-carnitine + coenzyme A	EC-2.3.1.7	RXN-18367
cinnamaldehyde + dioxygen + H2O  ->  cinnamate + hydrogen peroxide + H+	EC-1.2.3.9	RXN-8089
gibberellin A12 + 2-oxoglutarate + dioxygen  ->  gibberellin A15 (open lactone form) + CO2 + succinate	EC-1.14.11	RXN1F-162
[beta-D-GlcA-(1->4)-2-O-Ac-beta-D-GlcA-(1->4)-beta-D-Glc-(1->4)-[3-O-3-O-(CH3CH(OH)CH2C(O))-4,6-CH3(COO-)C-beta-D-Gal-(1->4)-beta-D-Glc-(1->4)-beta-D-Glc-(1->4)-beta-D-Glc-(1->6)]-2(or3)-O-Ac-alpha-D-Glc-(1->6)]n + phosphoenolpyruvate  ->  [beta-D-GlcA-(1->4)-2-O-Ac-beta-D-GlcA-(1->4)-beta-D-Glc-(1->4)-[3-O-3-O-(CH3CH(OH)CH2C(O))-4,6-CH3(COO-)C-beta-D-Gal-1->3)-4,6-CH3(COO-)C-beta-D-Glc-(1->4)-beta-D-Glc-(1->4)-beta-D-Glc-(1->6)]-2(or3)-O-Ac-alpha-D-Glc-(1->6)]n + phosphate	EC-2.5.1.98	RXN-12809
alpha-D-ribose 5-phosphate  ->  beta-D-ribose 5-phosphate		RXN-15345
an N-methylated OphMA peptide + H2O  ->  a cleaved OphMA peptide + omphalotin A + SVMSTE hexapeptide		RXN-21502
D-myo-inositol (1,4,5,6)-tetrakisphosphate + ATP  ->  D-myo-inositol (1,2,4,5,6)-pentakisphosphate + ADP + H+	EC-2.7.1	RXN-7182
16-alpha-hydroxysteroid + NAD(P)+  =  16-oxosteroid + NAD(P)H + H+	EC-1.1.1.147	1.1.1.147-RXN
pyruvate + ATP  <-  phosphoenolpyruvate + ADP + H+	EC-2.7.1.40	PEPDEPHOS-RXN
a chitodextrin + n H2O  ->  n+1 N,N'-diacetylchitobiose	EC-3.2.1.200	RXN-12309
UDP-alpha-D-digitoxose + digitoxigenin didigitoxoside  ->  digitoxin + UDP + H+	EC-2.4.1	RXN-20967
3-guanidinopropanoate + H2O  =  urea + beta-alanine	EC-3.5.3.17	GUANIDINOPROPIONASE-RXN
an N-terminal Nalpha-acetyl-L-methionyl-L-glutaminyl-[protein] + H2O  ->  an N-terminal L-glutaminyl-[protein] + N-acetyl-L-methionine	EC-3.4.19.1	RXN-17893
ADP-L-glycero-beta-D-manno-heptose + alpha-D-Kdo-(2->4)-alpha-D-Kdo-(2->6)-lipid A (E. coli)  ->  alpha-Hep-(1->5)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->6)-lipid A (E. coli) + ADP + H+	EC-2.4.99.23	RXN0-5118
epsilon-rhodomycinone + dTDP-L-daunosamine  ->  rhodomycinone D + dTDP + H+	EC-2.4.1	RXN-14825
isochenodeoxycholate + NADP+  <-  7alpha-hydroxy-3-oxo-5beta-cholanate + NADPH + H+	EC-1.1.1.393	RXN-17415
S-adenosyl-L-methionine + (2R,3S)-2,4',7-trihydroxyisoflavanone  ->  (2R,3S)-2,7-dihydroxy-4'-methoxyisoflavanone + S-adenosyl-L-homocysteine + H+	EC-2.1.1.212	RXN-3624
(1E,2S)-2-methylbutanal oxime  ->  (1Z,2S)-2-methylbutanal oxime		RXN-9640
D-Man-beta-(1->4)-GlcA-beta-(1->2)-6-O-acetyl-D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-PP-Und + acetyl-CoA  ->  6-O-acetyl-beta-D-mannosyl-(1,4)-beta-D-glucoronate-(1,2)-alpha-N-acetyl-D-mannosyl-(1,3)-beta-D-glucosyl-(1,4)-alpha-D-glucosyl-PP-Und + coenzyme A		RXN-11801
scyllo-inosose + NAD+  ->  3-dehydro scyllo-inosose + NADH + H+	EC-1.1.1	RXN-14358
cyclohex-2-ene-1-carbonyl-CoA  <-->  cyclohex-1-ene-1-carbonyl-CoA	EC-5.3.3.M5	RXN-20423
S-adenosyl-L-methionine + talamine  ->  3-N-methyltalamine + S-adenosyl-L-homocysteine + H+	EC-2.1.1	RXN-23145
S-adenosyl-L-methionine + demethylmacrocin  ->  S-adenosyl-L-homocysteine + macrocin + H+	EC-2.1.1.102	DEMETHYLMACROCIN-O-METHYLTRANSFERASE-RXN
9,9'-di-cis-zeta-carotene + an electron-transfer quinone  ->  7,9,9'-cis-neurosporene + an electron-transfer quinol		RXN-11356
2-hydroxyparaconate + dioxygen  ->  itatartarate + 2 H+	EC-1.13.11.M10	RXN-19904
anthranilate + ATP + coenzyme A  ->  anthraniloyl-CoA + AMP + diphosphate	EC-6.2.1.32	AMINOBENZCOALIG-RXN
GdnI	EC-1.14.11.M1	RXN-16902
myristoyl-CoA + a [protein]-L-lysine  ->  a [protein]-N-myristoyl-L-lysine + coenzyme A + H+	EC-2.3.1.M50	RXN-19325
1,4-naphthoquinone + a reduced two electron carrier + dioxygen  ->  juglone + an oxidized electron carrier + H2O	EC-1.14.99	RXN-9099
5-aminopentanoate + 2-oxoglutarate  <-->  L-glutamate + glutarate semialdehyde	EC-2.6.1.48	VAGL-RXN
fungisterol + 2 a ferrocytochrome b5 + dioxygen + 2 H+  ->  ergosta-5,7-dienol + 2 a ferricytochrome b5 + 2 H2O	EC-1.14.19.20	RXN-13883
16-hydroxypalmitate + ATP + coenzyme A  ->  16-hydroxypalmitoyl-CoA + AMP + diphosphate	EC-6.2.1.3	RXN-16389
(2E,6E)-farnesyl diphosphate + H2O  ->  (3S,6E)-nerolidol + diphosphate	EC-4.2.3.48	RXN-8616
reticuline oxidase	EC-1.21.3	RXN-10888
2-oxo-3-(5-oxofuran-2-ylidene)propanoate + H2O  ->  3-maleylpyruvate + H+	EC-3.1.1.91	RXN-13371
(E)-4-(methylsulfanyl)butanal oxime + L-cysteine + NADPH + dioxygen + H+  ->  (Z)-1-(L-cystein-S-yl)-N-hydroxy-omega-(methylsulfanyl)butan-1-imine + NADP+ + 2 H2O		RXN-2207
S-adenosyl-L-methionine + phenylethanolamine  ->  S-adenosyl-L-homocysteine + N-methylphenylethanolamine + H+	EC-2.1.1.28	2.1.1.28-RXN
ADP ribose 1''-phosphate + H2O  ->  ADP-D-ribose + phosphate	EC-3.1.3.84	RXN-10034
(2E,6E)-farnesyl diphosphate  ->  selina-4(15),7(11)-diene + diphosphate	EC-4.2.3.181	RXN-18886
succinyl-CoA + acetoacetate  <-->  succinate + acetoacetyl-CoA	EC-2.8.3.5	RXNI-2
D-glucaro-1,4-lactone + H2O  =  D-glucarate + H+		RXN-15906
monodemalonylsalvianin + malonyl-CoA  ->  salvianin + coenzyme A	EC-2.3.1.214	RXN-8139
kaempferol 3-rhamnoside 7-rhamnosyltransferase	EC-2.4.1	RXN1F-475
(2E,6E)-farnesyl diphosphate  ->  (-)-delta-cadinene + diphosphate	EC-4.2.3.97	RXN-12832
3-sulfinopropanoate + ATP + coenzyme A  ->  3-sulfinopropanoyl-CoA + ADP + phosphate	EC-6.2.1	RXN-15363
an apo-[hydroxymethylbilane synthase]-L-cysteine + preuroporphyrinogen  ->  a [hydroxymethylbilane synthase] ES2 intermediate + H2O		RXN-21522
D-myo-inositol (1,2,5,6) tetrakisphosphate + H2O  ->  D-myo-inositol (1,2,6) trisphosphate + phosphate		RXN-7244
(-)-usnate + NADH + 2 H+  ->  reduced-(S)-usnate + NAD+	EC-1.1.1.199	1.1.1.199-RXN
a phosphatidylglycerophosphate + H2O  ->  a phosphatidylglycerol + phosphate	EC-3.1.3.27	PGPPHOSPHA-RXN
3-aminopropanal + NAD+ + H2O  =  beta-alanine + NADH + 2 H+	EC-1.2.1	RXN-12332
cyclic 2,3-bisphosphoglycerate + H2O  ->  2,3-diphospho-D-glycerate + 2 H+	EC-3.1.4.61	RXN-20988
6-hydroxycyclohex-1-ene-1-carbonyl-CoA + NAD+  <-->  6-oxocyclohex-1-ene-1-carbonyl-CoA + NADH + H+	EC-1.1.1.368	HADTHAUERA-RXN
GTP + a [DNA ligase]-L-lysine  ->  a [DNA ligase]-L-lysine-guanylate + diphosphate + H+		RXN-17921
maltotetraose + phosphate  ->  maltotriose + alpha-D-glucopyranose 1-phosphate	EC-2.4.1.1	RXN0-5182
aklaviketone  <-  methyl aklanonate	EC-5.5.1.23	RXN-14844
(31R)-8,12-diethylbacteriochlorophyllide d + (2E,6E)-farnesyl diphosphate + H+  ->  (31R)-8,12-diethylbacteriochlorophyll d + diphosphate	EC-2.5.1.bl	RXN-17438
2-(3-hydroxy-2-oxo-1H-indol-3-yl)acetate + a reduced two electron carrier  ->  3-hydroxyindolin-2-one + acetate + an oxidized electron carrier		RXN-3942
arabidiol  <-  (3S)-2,3-epoxy-2,3-dihydrosqualene + H2O	EC-4.2.1.124	RXN-9684
a fatty acid + hydrogen peroxide  ->  a 3- or 2-hydroxy fatty acid + H2O	EC-1.11.2.4	RXN-11820
nylon-6 polymer + n H2O  ->  n a nylon-6 linear oligomer	EC-3.5.1.117	RXN-14376
4alpha-methyl ergosta-8,25(27)-dienol + NADP+  <-  4alpha-methyl ergosta-8,14,25(27)-trienol + NADPH + H+	EC-1.3.1.70	RXN-20446
leporin C + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  leporin B + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14	RXN-23167
3'-dephospho-CoA + ATP  ->  ADP + coenzyme A + H+	EC-2.7.1.24	DEPHOSPHOCOAKIN-RXN
S-adenosyl-L-methionine + a 2-[(3S)-3-carboxy-3-(methylammonio)propyl]-L-histidine-[translation elongation factor 2]  ->  a 2-[(3S)-3-carboxy-3-(dimethylammonio)propyl]-L-histidine-[translation elongation factor 2] + S-adenosyl-L-homocysteine + H+		RXN-11374
2''-O-acetyl-ADP-ribose  <-->  3''-O-acetyl-ADP-ribose		RXN-19921
(R)-amygdalin + H2O  ->  (R)-prunasin + D-glucopyranose	EC-3.2.1.117	AMYGDALIN-BETA-GLUCOSIDASE-RXN
ATP + [6-O-phospho-alpha-glucan] + H2O  ->  3-O-phospho-[6-O-phospho-alpha-glucan] + AMP + phosphate + 2 H+	EC-2.7.9.5	2.7.9.5-RXN
dimeric 9-hydroxyrubrofusarin-fuscofusarin + NAD(P)+  ->  aurofusarin + NAD(P)H + H+	EC-1.1.1	RXN-16931
valienone + ATP  ->  valienone 7-phosphate + ADP + H+	EC-2.7.1.214	RXN-9144
5,12-dihydroxanthommatin + NAD+  <-  xanthommatin + NADH + H+	EC-1.3.1.41	XANTHOMMATIN-REDUCTASE-RXN
S-adenosyl-L-methionine + quercetagetin  ->  patuletin + S-adenosyl-L-homocysteine + H+	EC-2.1.1	RXN-13900
4'-hydroxyechinenone + an oxidized electron carrier  <-  3,4,3',4'-tetradehydroisozeaxanthin + a reduced two electron carrier	EC-1.1.99	RXN-16409
linarin + H2O  ->  tilianin + beta-L-rhamnopyranose	EC-3.2.1.40	RXN-22602
betanidin + hydrogen peroxide  ->  betanidin quinone + 2 H2O	EC-1.11.1.7	RXN-8635
(2S)-2-(glutathion-S-yl)-3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-1-one + glutathione  ->  3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-1-one + glutathione disulfide		RXN-10904
(4S)-2-acetyl-3,4,8,10,11,12-hexahydroxy-1,4-dihydrotetracen-1-one + 2 NADPH + dioxygen + 3 H+  ->  4-demethylpremithracinone + 2 NADP+ + H2O		RXN-13389
an [E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine + an [RBR-type E3 ubiquitin transferase]-L-cysteine  ->  an [E2 ubiquitin-conjugating enzyme]-L-cysteine + an [RBR-type E3 ubiquitin transferase]-S-ubiquitinyl-L-cysteine		RXN-19353
S-adenosyl-L-methionine + pyrrolomycin G  ->  pyrrolomycin H + S-adenosyl-L-homocysteine + H+	EC-2.1.1	RXN-22085
S-adenosyl-L-methionine + a [protein]-L-beta-isoaspartate  ->  S-adenosyl-L-homocysteine + a protein L-beta-isoaspartate alpha-methyl ester	EC-2.1.1.77	2.1.1.77-RXN
4-aminobenzoate + NAD(P)H + dioxygen + 2 H+  ->  4-aminophenol + CO2 + NAD(P)+ + H2O	EC-1.14.13.27	4-AMINOBENZOATE-1-MONOOXYGENASE-RXN
VAI-1 + H2O  ->  N-(3-oxohexanoyl)-L-homoserine + H+	EC-3.1.1.81	RXN-10051
(3S)-2,3-epoxy-2,3-dihydrosqualene  ->  bauerenol	EC-5.4.99	RXNQT-4181
cytosyl-beta-D-glucuronate + an oxidized electron carrier  ->  cytosyl-4'-dehydro-beta-D-glucuronate + a reduced two electron carrier	EC-1.1	RXN-15928
2,3,6-trichlorohydroquinone + glutathione  ->  2,6-dichloro-3-(glutathion-S-yl)-hydroquinone + chloride	EC-2.5.1.18	RXN-18407
2-oxoadipate decarboxylase		RXN-8167
6-O-cis-keto-mycolyl-trehalose 6-phosphate + H2O  ->  trehalose-cis-keto-mono-mycolate + phosphate	EC-3.1.3.12	RXN1G-1438
