"EC","EC2","ec"
"--BORNEOL-DEHYDROGENASE-RXN","--BORNEOL-DEHYDROGENASE","1.1.1.227"
"PALMITOYL-COA-HYDROLASE-RXN","PALMITOYL-COA-HYDROLASE","3.1.2.2"
"RXN-12289","RXN-12289","3.2.1"
"RXN-20942","RXN-20942","2.7.1.230"
"GPH-RXN","GPH","3.1.3.18"
"RXN-17876","RXN-17876","3.4.11.18"
"RXN-20408","RXN-20408","2.6.1"
"RXN0-5040","RXN0-5040","3.5.1"
"RXN-1481","RXN-1481","1.17.1.3"
"RXN-17397","RXN-17397","1.1.1.391"
"RXN-3522","RXN-3522","1.6.5"
"RXN-9618","RXN-9618","2.3.1"
"RXN-11783","RXN-11783","1.13.11.75"
"RXN-14334","RXN-14334","1.13.11.71"
"RXN-23129","RXN-23129","2.4.1"
"RXN-11338","RXN-11338","6.3.1"
"RXN-19877","RXN-19877","3.6.1"
"ALPHA-L-FUCOSIDASE-RXN","ALPHA-L-FUCOSIDASE","3.2.1.51"
"2.7.7.30-RXN","2.7.7.30","2.7.7.30"
"RXN-16880","RXN-16880","2.1.1"
"RXN-19306","RXN-19306","2.4.2.21"
"RXN-9078","RXN-9078","3.5.1"
"UREIDOGLYCOLATE-HYDROLASE-RXN","UREIDOGLYCOLATE-HYDROLASE","3.5.1.116"
"RXN-13866","RXN-13866","4.1.99.20"
"RXN-16364","RXN-16364","2.1.1"
"RXN-8594","RXN-8594","4.2.3"
"RXN-13336","RXN-13336","2.7.4"
"RXN-22053","RXN-22053","2.4.99"
"2.1.1.133-RXN","2.1.1.133","2.1.1.133"
"3.5.4.30-RXN","3.5.4.30","3.5.4.30"
"RXN-10005","RXN-10005","4.2.3.40"
"RXN-18857","RXN-18857","3.2.1.206"
"RXN6666-7","RXN6666-7","2.1.1.6"
"RXN-18367","RXN-18367","2.3.1.7"
"RXN-8089","RXN-8089","1.2.3.9"
"RXN1F-162","RXN1F-162","1.14.11"
"RXN-12809","RXN-12809","2.5.1.98"
"RXN-7182","RXN-7182","2.7.1"
"1.1.1.147-RXN","1.1.1.147","1.1.1.147"
"PEPDEPHOS-RXN","PEPDEPHOS","2.7.1.40"
"RXN-12309","RXN-12309","3.2.1.200"
"RXN-20967","RXN-20967","2.4.1"
"GUANIDINOPROPIONASE-RXN","GUANIDINOPROPIONASE","3.5.3.17"
"RXN-17893","RXN-17893","3.4.19.1"
"RXN0-5118","RXN0-5118","2.4.99.23"
"RXN-14825","RXN-14825","2.4.1"
"RXN-17415","RXN-17415","1.1.1.393"
"RXN-3624","RXN-3624","2.1.1.212"
"RXN-14358","RXN-14358","1.1.1"
"RXN-20423","RXN-20423","5.3.3.M5"
"RXN-23145","RXN-23145","2.1.1"
"DEMETHYLMACROCIN-O-METHYLTRANSFERASE-RXN","DEMETHYLMACROCIN-O-METHYLTRANSFERASE","2.1.1.102"
"RXN-19904","RXN-19904","1.13.11.M10"
"AMINOBENZCOALIG-RXN","AMINOBENZCOALIG","6.2.1.32"
"RXN-16902","RXN-16902","1.14.11.M1"
"RXN-19325","RXN-19325","2.3.1.M50"
"RXN-9099","RXN-9099","1.14.99"
"VAGL-RXN","VAGL","2.6.1.48"
"RXN-13883","RXN-13883","1.14.19.20"
"RXN-16389","RXN-16389","6.2.1.3"
"RXN-8616","RXN-8616","4.2.3.48"
"RXN-10888","RXN-10888","1.21.3"
"RXN-13371","RXN-13371","3.1.1.91"
"2.1.1.28-RXN","2.1.1.28","2.1.1.28"
"RXN-10034","RXN-10034","3.1.3.84"
"RXN-18886","RXN-18886","4.2.3.181"
"RXNI-2","RXNI-2","2.8.3.5"
"RXN-8139","RXN-8139","2.3.1.214"
"RXN1F-475","RXN1F-475","2.4.1"
"RXN-12832","RXN-12832","4.2.3.97"
"RXN-15363","RXN-15363","6.2.1"
"1.1.1.199-RXN","1.1.1.199","1.1.1.199"
"PGPPHOSPHA-RXN","PGPPHOSPHA","3.1.3.27"
"RXN-12332","RXN-12332","1.2.1"
"RXN-20988","RXN-20988","3.1.4.61"
"HADTHAUERA-RXN","HADTHAUERA","1.1.1.368"
"RXN0-5182","RXN0-5182","2.4.1.1"
"RXN-14844","RXN-14844","5.5.1.23"
"RXN-17438","RXN-17438","2.5.1.bl"
"RXN-9684","RXN-9684","4.2.1.124"
"RXN-11820","RXN-11820","1.11.2.4"
"RXN-14376","RXN-14376","3.5.1.117"
"RXN-20446","RXN-20446","1.3.1.70"
"RXN-23167","RXN-23167","1.14.14"
"DEPHOSPHOCOAKIN-RXN","DEPHOSPHOCOAKIN","2.7.1.24"
"AMYGDALIN-BETA-GLUCOSIDASE-RXN","AMYGDALIN-BETA-GLUCOSIDASE","3.2.1.117"
"2.7.9.5-RXN","2.7.9.5","2.7.9.5"
"RXN-16931","RXN-16931","1.1.1"
"RXN-9144","RXN-9144","2.7.1.214"
"XANTHOMMATIN-REDUCTASE-RXN","XANTHOMMATIN-REDUCTASE","1.3.1.41"
"RXN-13900","RXN-13900","2.1.1"
"RXN-16409","RXN-16409","1.1.99"
"RXN-22602","RXN-22602","3.2.1.40"
"RXN-8635","RXN-8635","1.11.1.7"
"RXN-22085","RXN-22085","2.1.1"
"2.1.1.77-RXN","2.1.1.77","2.1.1.77"
"4-AMINOBENZOATE-1-MONOOXYGENASE-RXN","4-AMINOBENZOATE-1-MONOOXYGENASE","1.14.13.27"
"RXN-10051","RXN-10051","3.1.1.81"
"RXNQT-4181","RXNQT-4181","5.4.99"
"RXN-15928","RXN-15928","1.1"
"RXN-18407","RXN-18407","2.5.1.18"
"RXN1G-1438","RXN1G-1438","3.1.3.12"
"RXN-15380","RXN-15380","2.3.1"
"RXN-7305","RXN-7305","3.1.3.62"
"1.1.1.250-RXN","1.1.1.250","1.1.1.250"
"PHENYLSERINE-ALDOLASE-RXN","PHENYLSERINE-ALDOLASE","4.1.2.26"
"RXN-12354","RXN-12354","5.3.2.M1"
"RXN-2102","RXN-2102","3.1.1.11"
"HISTCYCLOHYD-RXN","HISTCYCLOHYD","3.5.4.19"
"RXN-17942","RXN-17942","6.5.1.8"
"RXN0-5214","RXN0-5214","3.1.1"
"RXN-14861","RXN-14861","3.1.1"
"RXN-9715","RXN-9715","2.4.1"
"RXN-11845","RXN-11845","2.1.1.166"
"RXN-14402","RXN-14402","1.1.1.355"
"RXN-20504","RXN-20504","3.5.1.23"
"RXN-23184","RXN-23184","2.3.1"
"DIAMINOPIMELATE-DEHYDROGENASE-RXN","DIAMINOPIMELATE-DEHYDROGENASE","1.4.1.16"
"ARACHIDONATE-5-LIPOXYGENASE-RXN","ARACHIDONATE-5-LIPOXYGENASE","1.13.11.34"
"2.8.3.7-RXN","2.8.3.7","2.8.3.22"
"RXN-16954","RXN-16954","1.1.1.90"
"RXN-9161","RXN-9161","1.1.1.M47"
"DICARBOXYLATE--COA-LIGASE-RXN","DICARBOXYLATE--COA-LIGASE","6.2.1.23"
"RXN-11396","RXN-11396","3.6.1.55"
"RXN-19959","RXN-19959","6.2.1.2"
"ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN","ARALKYLAMINE-N-ACETYLTRANSFERASE","2.3.1.87"
"23-DIHYDROXYINDOLE-23-DIOXYGENASE-RXN","23-DIHYDROXYINDOLE-23-DIOXYGENASE","1.13.11.23"
"RXN-16958","RXN-16958","2.6.1"
"RXN-13919","RXN-13919","2.1.1"
"RXN-16432","RXN-16432","2.8.1"
"RXN-22626","RXN-22626","2.4.2.5"
"RXN-8670","RXN-8670","1.14.13.50"
"RXN-13430","RXN-13430","3.1.2.2"
"RXN-19383","RXN-19383","3.1.3"
"RXN-22109","RXN-22109","4.2.1.177"
"2.3.1.101-RXN","2.3.1.101","2.3.1.101"
"4-OXOPROLINE-REDUCTASE-RXN","4-OXOPROLINE-REDUCTASE","1.1.1.104"
"RXN-10081","RXN-10081","5.5.1.7"
"RXN-18927","RXN-18927","3.2.1.113"
"RXNQT-4327","RXNQT-4327","2.4.1.195"
"RXN-15948","RXN-15948","5.1.1.22"
"RXN-15405","RXN-15405","2.1.1.305"
"1.1.1.277-RXN","1.1.1.277","1.1.1.277"
"PHOSPHOADENYLYLSULFATASE-RXN","PHOSPHOADENYLYLSULFATASE","3.6.2.2"
"RXN-12380","RXN-12380","2.1.1.215"
"RXN-18432","RXN-18432","1.1.99.40"
"RXN-21046","RXN-21046","2.1.1.365"
"HYALURONATE-LYASE-RXN","HYALURONATE-LYASE","4.2.2.1"
"RXN-9740","RXN-9740","1.14.13.131"
"RXN-11876","RXN-11876","5.5.1.9"
"RXN-14423","RXN-14423","1.14.20"
"RXN-20523","RXN-20523","3.1.4.11"
"DIHYDROFOLATESYNTH-RXN","DIHYDROFOLATESYNTH","6.3.2.12"
"ARYL-ALCOHOL-DEHYDROGENASE-RXN","ARYL-ALCOHOL-DEHYDROGENASE","1.1.1.90"
"3-DEHYDROQUINATE-DEHYDRATASE-RXN","3-DEHYDROQUINATE-DEHYDRATASE","4.2.1.10"
"RXN-13936","RXN-13936","2.1.1"
"RXN-22642","RXN-22642","3.5.1"
"RXN-10946","RXN-10946","3.1.3"
"RXN-13452","RXN-13452","2.4.1.91"
"RXN-19400","RXN-19400","2.7.8"
"RXN-22130","RXN-22130","2.4.1"
"2.3.1.138-RXN","2.3.1.138","2.3.1.138"
"4.1.1.84-RXN","4.1.1.84","4.1.1.84"
"RXNQT-4345","RXNQT-4345","2.6.1"
"RXN-15965","RXN-15965","1.14.19"
"RXN-8219","RXN-8219","2.1.1"
"RXN1UA-61","RXN1UA-61","3.1.3"
"RXN-12898","RXN-12898","1.1.1.320"
"RXN-15425","RXN-15425","2.5.1.125"
"1.1.1.92-RXN","1.1.1.92","1.1.1.92"
"PHYTANATE--COA-LIGASE-RXN","PHYTANATE--COA-LIGASE","6.2.1.24"
"RXN-18450","RXN-18450","2.5.1.137"
"RXN-21069","RXN-21069","3.1.1.5"
"HYDROXYLYSINE-KINASE-RXN","HYDROXYLYSINE-KINASE","2.7.1.81"
"RXN-17997","RXN-17997","2.7.7.96"
"RXN0-5395","RXN0-5395","3.2.1"
"RXN-14909","RXN-14909","4.1.1.M24"
"RXN-9756","RXN-9756","4.1.1.M23"
"RXN-11899","RXN-11899","1.13.11"
"RXN-14440","RXN-14440","2.4.1.300"
"RXN-20541","RXN-20541","3.1.1.118"
"RXN-23240","RXN-23240","2.1.1"
"DIMETHYLARGININASE-RXN","DIMETHYLARGININASE","3.5.3.18"
"RXN-11428","RXN-11428","3.4.19.16"
"RXN-17499","RXN-17499","2.1.1.M26"
"ASCORBATE-PHOSPHORYLATION-RXN","ASCORBATE-PHOSPHORYLATION","2.7.1"
"RXN-13952","RXN-13952","2.3.1"
"RXN-22686","RXN-22686","2.4.1"
"RXN-10964","RXN-10964","3.6.1.52"
"RXN-13471","RXN-13471","2.4.1.126"
"RXN-19419","RXN-19419","3.5.1"
"RXN-22151","RXN-22151","2.4.1"
"2.3.1.162-RXN","2.3.1.162","2.3.1.162"
"4.2.1.103-RXN","4.2.1.103","4.2.1.103"
"RXN-10115","RXN-10115","1.21.99.M3"
"RXN-16478","RXN-16478","1.14.13.181"
"RXN-15985","RXN-15985","5.2.1"
"RXN-8239","RXN-8239","2.1.1"
"RXN2B4Q-54","RXN2B4Q-54","2.4.99.12"
"RXN-12919","RXN-12919","2.4.1"
"RXN-15445","RXN-15445","1.14.14"
"RXN-7601","RXN-7601","2.1.1.160"
"1.1.99.28-RXN","1.1.99.28","1.1.99.28"
"POLYVINYL-ALCOHOL-OXIDASE-RXN","POLYVINYL-ALCOHOL-OXIDASE","1.1.3.30"
"RXN-12421","RXN-12421","1.14.14.48"
"RXN-18476","RXN-18476","2.1.1"
"RXN-21089","RXN-21089","2.7.8.28"
"HYPOTAURINE-DEHYDROGENASE-RXN","HYPOTAURINE-DEHYDROGENASE","1.14.13.8"
"RXN-18018","RXN-18018","2.3.1.M32"
"RXN-14930","RXN-14930","2.6.1.105"
"RXN-4505","RXN-4505","1.14.14.93"
"RXN-9781","RXN-9781","5.1.99.5"
"RXN-11917","RXN-11917","2.3.1"
"RXN-14460","RXN-14460","6.3.3.5"
"RXN-20558","RXN-20558","3.1.1.4"
"RXN-23264","RXN-23264","4.1.99"
"DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN","DNA-CYTOSINE-5--METHYLTRANSFERASE","2.1.1.37"
"RXN-11442","RXN-11442","4.4.1.M2"
"RXN-17518","RXN-17518","4.99.1.9"
"RXN-2002","RXN-2002","4.2.1.17"
"ASPCARBTRANS-RXN","ASPCARBTRANS","2.1.3.2"
"3-SULFINOALANINE-AMINOTRANSFERASE-RXN","3-SULFINOALANINE-AMINOTRANSFERASE","2.6.1"
"RXN-17031","RXN-17031","1.14.14"
"RXN-13969","RXN-13969","2.4.1.300"
"RXN-22705","RXN-22705","1.14.13.251"
"RXN-8722","RXN-8722","2.3.1"
"RXN-19490","RXN-19490","2.8.3.16"
"RXN-22172","RXN-22172","2.4.1.44"
"2.3.1.56-RXN","2.3.1.56","2.3.1.56"
"4.2.2.17-RXN","4.2.2.17","4.2.2.17"
"RXN-16494","RXN-16494","5.4.4"
"RXN-18980","RXN-18980","4.2.3.188"
"SAICARSYN-RXN","SAICARSYN","6.3.2.6"
"RXN-16018","RXN-16018","2.4.1"
"RXN-8270","RXN-8270","2.4.1"
"RXN2DNV-17","RXN2DNV-17","2.4.1"
"RXN-12941","RXN-12941","2.1.1"
"RXN-21756","RXN-21756","1.1.1.178"
"RXN-7629","RXN-7629","1.14.14"
"1.13.11.41-RXN","1.13.11.41","1.13.11.41"
"PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN","PROCOLLAGEN-PROLINE-3-DIOXYGENASE","1.14.11.7"
"RXN-18495","RXN-18495","2.5.1.138"
"RXN-21134","RXN-21134","1.1.1.423"
"INDOLEACETATE--LYSINE-LIGASE-RXN","INDOLEACETATE--LYSINE-LIGASE","6.3.2.20"
"RXN-15465","RXN-15465","1.1.1"
"RXN-1804","RXN-1804","2.4.1.10"
"RXN-14947","RXN-14947","5.4.4.7"
"RXN-4621","RXN-4621","1.5.99"
"RXN-9819","RXN-9819","1.13.11"
"DTMPKI-RXN","DTMPKI","2.7.4.12 // EC-2.7.4.13 // EC-2.7.4.9"
"RXN-11461","RXN-11461","4.2.2.9"
"RXN-17535","RXN-17535","1.3.1"
"RXN-20043","RXN-20043","4.2.3.197"
"BARBITURASE-RXN","BARBITURASE","3.5.2.1"
"3.1.1.76-RXN","3.1.1.76","3.1.1.76"
"RXN-14476","RXN-14476","1.3.1.79"
"RXN-17048","RXN-17048","3.1.1"
"RXN-9233","RXN-9233","2.1.1.222"
"RXN-13986","RXN-13986","2.3.1"
"RXN-8743","RXN-8743","3.1.8.1"
"RXN-13511","RXN-13511","2.4.1"
"RXN-19518","RXN-19518","6.3.2"
"RXN-22195","RXN-22195","2.1.1"
"2.3.1.97-RXN","2.3.1.97","2.3.1.97"
"4.2.3.18-RXN","4.2.3.18","4.2.3.18"
"RXN-10421","RXN-10421","1.14.12"
"RXN-16512","RXN-16512","3.2.1.180"
"RXN-18999","RXN-18999","2.4.1.352"
"SEQUOYITOL-DEHYDROGENASE-RXN","SEQUOYITOL-DEHYDROGENASE","1.1.1.143"
"RXN-8290","RXN-8290","2.4.1.240"
"RXN2DNV-31","RXN2DNV-31","2.4.1.152"
"RXN-12960","RXN-12960","2.7.1.175"
"RXN-21774","RXN-21774","1.3.8.5"
"RXN-7655","RXN-7655","1.14.14"
"1.14.11.24-RXN","1.14.11.24","1.14.11.24"
"PROSTAGLANDIN-A1-DELTA-ISOMERASE-RXN","PROSTAGLANDIN-A1-DELTA-ISOMERASE","5.3.3.9"
"RXN-12462","RXN-12462","2.1.1.227"
"ISOCITRATE-DEHYDROGENASE-NAD+-RXN","ISOCITRATE-DEHYDROGENASE-NAD+","1.1.1.286 // EC-1.1.1.41"
"RXN-18058","RXN-18058","2.4.1"
"RXN-4728","RXN-4728","2.4.1"
"RXN-9836","RXN-9836","1.1.1"
"RXN-23318","RXN-23318","3.1.1"
"ERYTHRITOL-KINASE-RXN","ERYTHRITOL-KINASE","2.7.1.27"
"RXN-20063","RXN-20063","3.5.1.131"
"BETA-GLUCOSIDE-KINASE-RXN","BETA-GLUCOSIDE-KINASE","2.7.1.85"
"3.1.16.1-RXN","3.1.16.1","3.1.16.1"
"RXN-14496","RXN-14496","2.3.1"
"RXN-17068","RXN-17068","2.1.1.M8"
"RXN-9277","RXN-9277","1.14.13.M81"
"RXN-14003","RXN-14003","3.6.1.64"
"RXN-22743","RXN-22743","1.5.7.3"
"RXN-8765","RXN-8765","1.3.1.106"
"RXN-1102","RXN-1102","1.1.1.195"
"RXN-22214","RXN-22214","2.5.1"
"2.4.1.122-RXN","2.4.1.122","2.4.1.122"
"4.4.1.14-RXN","4.4.1.14","4.4.1.14"
"RXN-10438","RXN-10438","6.3.2.52"
"RXN-16534","RXN-16534","2.1.1"
"RXN-19015","RXN-19015","2.4.1"
"SOLDEHYD-RXN","SOLDEHYD","1.1.1.257"
"RXN-13525","RXN-13525","1.14.99"
"RXN-16057","RXN-16057","2.1.1"
"RXN-8307","RXN-8307","1.14.19.42"
"RXN-12985","RXN-12985","4.2.3"
"RXN-21791","RXN-21791","2.7.2.14"
"RXN-7678","RXN-7678","1.1.1.294"
"1.14.13.33-RXN","1.14.13.33","1.14.13.33"
"PSERPHOSPHA-RXN","PSERPHOSPHA","3.1.3.3"
"RXN-12486","RXN-12486","2.7.7.69 // EC-2.7.7.78"
"JUVENILE-HORMONE-ESTERASE-RXN","JUVENILE-HORMONE-ESTERASE","3.1.1.59"
"RXN-15524","RXN-15524","1.14.99"
"RXN-18075","RXN-18075","4.3.99"
"RXN-15003","RXN-15003","6.3.2.60"
"RXN-9853","RXN-9853","1.14.12.26"
"RXN-12002","RXN-12002","2.7.4.22 // EC-2.7.4.14"
"RXN-23337","RXN-23337","2.3.1"
"F16BDEPHOS-RXN","F16BDEPHOS","3.1.3.11"
"RXN-11518","RXN-11518","1.14.13.128"
"BIS5-ADENOSYL-TRIPHOSPHATASE-RXN","BIS5-ADENOSYL-TRIPHOSPHATASE","3.6.1.29"
"RXN-14518","RXN-14518","2.5.1.114"
"RXN-17085","RXN-17085","4.2.3"
"RXN-9295","RXN-9295","2.3.1.186"
"RXN-14025","RXN-14025","3.1.3.5"
"RXN-22766","RXN-22766","2.1.1"
"RXN-8783","RXN-8783","3.1.1.17"
"RXN-1104","RXN-1104","2.1.1.68"
"2.4.1.149-RXN","2.4.1.149","2.4.1.149"
"5-HYDROXYPENTANOATE-COA-TRANSFERASE-RXN","5-HYDROXYPENTANOATE-COA-TRANSFERASE","2.8.3.14"
"RXN-10455","RXN-10455","6.3.2.52"
"RXN-16551","RXN-16551","1.2.1.84"
"SS-BUTANEDIOL-DEHYDROGENASE-RXN","SS-BUTANEDIOL-DEHYDROGENASE","1.1.1.76"
"RXN-13546","RXN-13546","4.1.99"
"RXN-16074","RXN-16074","3.1.1"
"RXN-8324","RXN-8324","1.14.19.22"
"RXN-21816","RXN-21816","3.2.1.51"
"RXN-7700","RXN-7700","1.1.1.1"
"PYRAZIN-RXN","PYRAZIN","3.5.1.4"
"RXN-18566","RXN-18566","2.3.3.20"
"KETOHEXOKINASE-RXN","KETOHEXOKINASE","2.7.1.3"
"RXN-15021","RXN-15021","2.3.1"
"RXN-4883","RXN-4883","4.2.3.35"
"RXN-9871","RXN-9871","1.14.12"
"RXN-12024","RXN-12024","3.2.1.147"
"RXN-17590","RXN-17590","1.8.1.5"
"RXN-20102","RXN-20102","1.1.1.170"
"CARBOXY-CISCIS-MUCONATE-CYCLASE-RXN","CARBOXY-CISCIS-MUCONATE-CYCLASE","5.5.1.5"
"RXN-17103","RXN-17103","3.1.7.11"
"RXN-11532","RXN-11532","1.1.99.M2"
"RXN-14051","RXN-14051","2.8.3.13"
"RXN-11060","RXN-11060","2.4.1.17"
"RXN-22254","RXN-22254","2.3.1"
"2.4.1.179-RXN","2.4.1.179","2.4.1.179"
"5.1.3.9-RXN","5.1.3.9","5.1.3.9"
"RXN-10483","RXN-10483","4.2.3.53"
"STREPTOMYCIN-6-KINASE-RXN","STREPTOMYCIN-6-KINASE","2.7.1.72"
"RXN-16090","RXN-16090","2.3.1"
"RXN-8347","RXN-8347","1.14.19.47"
"RXN3O-663","RXN3O-663","2.4.1.370"
"RXN-13034","RXN-13034","4.2.2.26"
"RXN-21838","RXN-21838","2.1.1"
"PYRROLINE-2-CARBOXYLATE-REDUCTASE-RXN","PYRROLINE-2-CARBOXYLATE-REDUCTASE","1.5.1.49 // EC-1.5.1.1"
"RXN-18590","RXN-18590","1.1.1.411"
"RXN-21216","RXN-21216","2.1.1"
"L-ASPARTATE-OXID-RXN","L-ASPARTATE-OXID","1.4.3.16"
"RXN-15559","RXN-15559","2.3.2.26"
"RXN-18115","RXN-18115","1.14.14"
"RXN-12525","RXN-12525","1.14.13"
"RXN-15039","RXN-15039","1.14.14.31"
"RXN-9888","RXN-9888","1.13.11.M6"
"RXN-20657","RXN-20657","3.2.2.M2"
"FORMATE-KINASE-RXN","FORMATE-KINASE","2.7.2.6"
"RXN-17610","RXN-17610","1.14.13.229"
"CARNITINE-O-PALMITOYLTRANSFERASE-RXN","CARNITINE-O-PALMITOYLTRANSFERASE","2.3.1.21"
"3.1.3.76-RXN","3.1.3.76","3.1.3.76"
"RXN-17123","RXN-17123","2.1.1.M9"
"RXN-11552","RXN-11552","5.4.99.30"
"RXN-14073","RXN-14073","3.1.4.46"
"RXN-22807","RXN-22807","1.1.99.13"
"RXN-8821","RXN-8821","1.14.13.210"
"RXN-11078","RXN-11078","2.4.2.45"
"RXN-19600","RXN-19600","2.5.1.18"
"RXN-22270","RXN-22270","1.1.1.141"
"2.4.1.206-RXN","2.4.1.206","2.4.1.206"
"5.4.99.17-RXN","5.4.99.17","5.4.99.17"
"RXN-16597","RXN-16597","2.4.1"
"RXN-19076","RXN-19076","1.14.19.M18"
"SUCCSEMIALDDEHYDROG-RXN","SUCCSEMIALDDEHYDROG","1.2.1.79"
"RXN-13599","RXN-13599","5.1.2"
"RXN-16110","RXN-16110","1.14.13"
"RXN-8367","RXN-8367","1.14.19.35"
"RXN490-3641","RXN490-3641","1.14.11.57"
"RXN-10607","RXN-10607","2.4.1.17"
"RXN-13065","RXN-13065","1.5.3.21"
"RXN-21855","RXN-21855","5.1.3.44"
"RXN-7770","RXN-7770","4.1.1"
"1.14.99.33-RXN","1.14.99.33","1.14.19.39"
"QUINOLINATE-SYNTHA-RXN","QUINOLINATE-SYNTHA","2.5.1.72"
"RXN-18611","RXN-18611","3.1.3"
"RXN-21235","RXN-21235","1.14.11.54"
"L-RHAMNONO-14-LACTONASE-RXN","L-RHAMNONO-14-LACTONASE","3.1.1.65"
"RXN0-7021","RXN0-7021","1.1.1"
"RXN-12545","RXN-12545","2.7.1.147"
"RXN-15056","RXN-15056","4.2.1.154"
"RXN-5142","RXN-5142","4.2.3.117"
"RXN-9905","RXN-9905","5.5.1.7"
"RXN-12057","RXN-12057","3.1.4.37"
"FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN","FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE","4.1.2.22"
"RXN-17630","RXN-17630","3.5.1.124"
"CDPDIGLYSYN-RXN","CDPDIGLYSYN","2.7.7.41"
"3.1.4.43-RXN","3.1.4.43","3.1.4.43"
"RXN-14576","RXN-14576","1.3.3.6"
"RXN-17150","RXN-17150","3.5.1.9"
"RXN-9366","RXN-9366","2.1.1.163"
"RXN-14091","RXN-14091","3.1.4.16"
"RXN-22824","RXN-22824","6.2.1.75"
"RXN-8838","RXN-8838","3.5.99.11"
"RXN-19626","RXN-19626","2.5.1.18"
"2.4.1.223-RXN","2.4.1.223","2.4.1.223"
"6-PHOSPHO-BETA-GLUCOSIDASE-RXN","6-PHOSPHO-BETA-GLUCOSIDASE","3.2.1.86"
"RXN-16639","RXN-16639","6.3.2"
"RXN-19098","RXN-19098","1.14.19.M18"
"SYM-NORSPERMIDINE-SYNTHASE-RXN","SYM-NORSPERMIDINE-SYNTHASE","2.5.1.23"
"RXN-16128","RXN-16128","1.14.19"
"RXN-10624","RXN-10624","1.2.1.74"
"RXN-13084","RXN-13084","1.4.1"
"RXN-21873","RXN-21873","2.4.1"
"RXN-7790","RXN-7790","1.2.1.25"
"1.2.1.45-RXN","1.2.1.45","1.1.1.312"
"RXN-21256","RXN-21256","2.4.1.M64"
"LACTOSE-DEHYDRO-RXN","LACTOSE-DEHYDRO","1.1.2.11"
"RXN-15607","RXN-15607","1.1.1"
